Concepto o parte del concepto usada para identificar el cargo	Título con que aparecerá.	Frecuencia en meses  (1 por defecto)	Comentarios
AJ. SITGES	Ayuntamiento Sitges		Muy irregular.
CDAD.PROP. C.MIGUEL RIBAS LLOPIS	Comunidad del Parquing	3	
SOCIEDAD GRAL.AGUAS BCN	Agua casa	3	
SOREA	Agua casa	3	
AGBAR	Agua casa	3	
TELEFONICA	Movistar		
ORANGE	Movil viejo		
GAS	Gas casa	2	
ENERGIA XXI	Electricidad casa		
COM.PROP.M.RIBAS LLOPIS B.21 ESC.1	Comunidad casa	3	Puede haber derramas
MADAC		12	
SANITAS	Sanitas		Cuota anual + co-pagos todos los meses.
AQUALOGY SOLUTIONS	Alquiler contador agua GG	12	
ASOCIACION ESPANOLA PARA LA COMUNICACION	CNV		
CATALANA OCCIDENTE	Catalana Occidente	12	
EAL ASESORES	Contador		
DINAHOSTING		12	
CALVET	Comunidad GG	3	Hacen ciclos de dos pagos chicos y uno gordo. Puede haber derramas extra.
PAULA RESINA CURADO	Pago alquiler GG		
LUCIA REDONDO RUBIO	Pago alquiler GG		
IMPUESTOS AJUNTAMENT DE BARCELONA	IBI GG	3	
SEAESITGES SL	Piscina Municipal		
GENERALITAT DE CATALUNYA			
TRANSFERENCIA BARREIRO			
REINTEGRO			
INGRESO EFECTIVO			
A.E.A.T.	IMPUESTOS		
IMPUESTOS			
TARJETA CREDITO			
